,VehicleID,Manufacturing_Lot,PSI
1,V40858,Lot1,1499
2,V40607,Lot1,1500
3,V31443,Lot1,1500
4,V6004,Lot1,1500
5,V7000,Lot1,1501
6,V17344,Lot1,1501
7,V37049,Lot1,1500
8,V9048,Lot1,1499
9,V40947,Lot1,1501
10,V4682,Lot1,1500
11,V35167,Lot1,1500
12,V20839,Lot1,1498
13,V1763,Lot1,1500
14,V7915,Lot1,1499
15,V24283,Lot1,1500
16,V14310,Lot1,1500
17,V48331,Lot1,1502
18,V24679,Lot1,1499
19,V26894,Lot1,1498
20,V42152,Lot1,1501
21,V213,Lot1,1500
22,V4312,Lot1,1499
23,V34599,Lot1,1501
24,V5945,Lot1,1500
25,V45341,Lot1,1498
26,V11514,Lot1,1499
27,V2168,Lot1,1501
28,V22022,Lot1,1499
29,V39970,Lot1,1499
30,V25197,Lot1,1502
31,V8438,Lot1,1500
32,V14229,Lot1,1502
33,V493,Lot1,1501
34,V16491,Lot1,1500
35,V1037,Lot1,1500
36,V11948,Lot1,1500
37,V34990,Lot1,1500
38,V10773,Lot1,1501
39,V41106,Lot1,1500
40,V37342,Lot1,1501
41,V23497,Lot1,1500
42,V47918,Lot1,1499
43,V24631,Lot1,1499
44,V44338,Lot1,1500
45,V6203,Lot1,1499
46,V41780,Lot1,1500
47,V25772,Lot1,1501
48,V33072,Lot1,1501
49,V9609,Lot1,1501
50,V17444,Lot1,1499
