,VehicleID,Manufacturing_Lot,PSI
1,V40858,Lot1,1499
2,V40607,Lot1,1500
3,V31443,Lot1,1500
4,V6004,Lot1,1500
5,V7000,Lot1,1501
6,V17344,Lot1,1501
7,V37049,Lot1,1500
8,V9048,Lot1,1499
9,V40947,Lot1,1501
10,V4682,Lot1,1500
11,V35167,Lot1,1500
12,V20839,Lot1,1498
13,V1763,Lot1,1500
14,V7915,Lot1,1499
15,V24283,Lot1,1500
16,V14310,Lot1,1500
17,V48331,Lot1,1502
18,V24679,Lot1,1499
19,V26894,Lot1,1498
20,V42152,Lot1,1501
21,V213,Lot1,1500
22,V4312,Lot1,1499
23,V34599,Lot1,1501
24,V5945,Lot1,1500
25,V45341,Lot1,1498
26,V11514,Lot1,1499
27,V2168,Lot1,1501
28,V22022,Lot1,1499
29,V39970,Lot1,1499
30,V25197,Lot1,1502
31,V8438,Lot1,1500
32,V14229,Lot1,1502
33,V493,Lot1,1501
34,V16491,Lot1,1500
35,V1037,Lot1,1500
36,V11948,Lot1,1500
37,V34990,Lot1,1500
38,V10773,Lot1,1501
39,V41106,Lot1,1500
40,V37342,Lot1,1501
41,V23497,Lot1,1500
42,V47918,Lot1,1499
43,V24631,Lot1,1499
44,V44338,Lot1,1500
45,V6203,Lot1,1499
46,V41780,Lot1,1500
47,V25772,Lot1,1501
48,V33072,Lot1,1501
49,V9609,Lot1,1501
50,V17444,Lot1,1499
51,V2937,Lot2,1499
52,V33662,Lot2,1501
53,V35897,Lot2,1499
54,V40383,Lot2,1500
55,V31118,Lot2,1505
56,V49231,Lot2,1499
57,V16893,Lot2,1502
58,V19636,Lot2,1500
59,V24531,Lot2,1499
60,V29702,Lot2,1497
61,V27432,Lot2,1499
62,V41076,Lot2,1494
63,V31174,Lot2,1496
64,V21322,Lot2,1498
65,V27412,Lot2,1498
66,V13774,Lot2,1502
67,V45883,Lot2,1504
68,V29723,Lot2,1498
69,V8872,Lot2,1500
70,V3320,Lot2,1498
71,V18858,Lot2,1501
72,V9531,Lot2,1500
73,V44685,Lot2,1501
74,V12054,Lot2,1502
75,V16182,Lot2,1501
76,V14013,Lot2,1499
77,V9627,Lot2,1505
78,V41360,Lot2,1505
79,V924,Lot2,1500
80,V47525,Lot2,1504
81,V31495,Lot2,1500
82,V38509,Lot2,1503
83,V17834,Lot2,1495
84,V20413,Lot2,1503
85,V17502,Lot2,1504
86,V40607,Lot2,1503
87,V44576,Lot2,1500
88,V35190,Lot2,1500
89,V46374,Lot2,1500
90,V47062,Lot2,1499
91,V11605,Lot2,1496
92,V14941,Lot2,1502
93,V2942,Lot2,1501
94,V32735,Lot2,1506
95,V45208,Lot2,1501
96,V40317,Lot2,1495
97,V36280,Lot2,1497
98,V31949,Lot2,1500
99,V49281,Lot2,1499
100,V34138,Lot2,1500
101,V5908,Lot3,1503
102,V9510,Lot3,1501
103,V3092,Lot3,1496
104,V49408,Lot3,1503
105,V35127,Lot3,1496
106,V27926,Lot3,1503
107,V830,Lot3,1498
108,V25929,Lot3,1499
109,V45061,Lot3,1477
110,V33860,Lot3,1499
111,V27039,Lot3,1501
112,V16942,Lot3,1495
113,V1405,Lot3,1480
114,V7785,Lot3,1502
115,V39902,Lot3,1503
116,V47785,Lot3,1491
117,V42574,Lot3,1501
118,V35633,Lot3,1542
119,V38088,Lot3,1474
120,V39133,Lot3,1498
121,V8204,Lot3,1498
122,V37577,Lot3,1515
123,V30892,Lot3,1499
124,V37654,Lot3,1503
125,V12051,Lot3,1501
126,V5504,Lot3,1495
127,V15755,Lot3,1498
128,V13224,Lot3,1499
129,V46194,Lot3,1452
130,V47096,Lot3,1458
131,V9537,Lot3,1501
132,V7763,Lot3,1500
133,V41771,Lot3,1508
134,V28453,Lot3,1483
135,V21383,Lot3,1492
136,V26143,Lot3,1489
137,V38622,Lot3,1497
138,V19109,Lot3,1485
139,V32572,Lot3,1507
140,V793,Lot3,1500
141,V26325,Lot3,1499
142,V42093,Lot3,1486
143,V46047,Lot3,1498
144,V17544,Lot3,1496
145,V9896,Lot3,1496
146,V20689,Lot3,1491
147,V18191,Lot3,1494
148,V39791,Lot3,1503
149,V10053,Lot3,1499
150,V45267,Lot3,1503
